"id","neighbourhood_name","state","state_lga_id","latitude","longitude","created_at","updated_at"
"507","Ijanikin","Lagos","331","6.4886","3.1428",NULL,NULL
"508","Ojodu Berger","Lagos","332","6.647","3.3742",NULL,NULL
"509","Ikeja","Lagos","332","6.6018","3.3515",NULL,NULL
"510","Opebi","Lagos","332","6.5894","3.3614",NULL,NULL
"511","Ogba","Lagos","332","6.6252","3.3441",NULL,NULL
"512","Iyana-Ipaja","Lagos","327","6.6195","3.2999",NULL,NULL
"513","Maryland","Lagos","332","6.5764","3.3653",NULL,NULL
"514","Ikorodu","Lagos","333","6.6194","3.5105",NULL,NULL
"515","Badagry","Lagos","334","6.4183","2.8901",NULL,NULL
"516","Morogbo","Lagos","334","6.4956","3.0914",NULL,NULL
"517","Oshodi-Isolo","Lagos","335","6.5355","3.3087",NULL,NULL
"518","Okota","Lagos","335","6.5084","3.3137",NULL,NULL
"519","Isolo","Lagos","335","6.5355","3.3087",NULL,NULL
"520","Mafoluku","Lagos","335","6.5553","3.3326",NULL,NULL
"521","Alakija","Lagos","335","6.4579","3.2716",NULL,NULL
"522","Shomolu","Lagos","336","6.5392","3.3842",NULL,NULL
"523","Bariga","Lagos","336","6.5391","3.3849",NULL,NULL
"524","Akoka","Lagos","336","6.5261","3.3921",NULL,NULL
"525","Yewa South","Ogun","336","7.1702","2.8577",NULL,NULL
"526","Surulere","Lagos","337","6.4983","3.3486",NULL,NULL
"527","Ojuelegba","Lagos","337","6.5111","3.3666",NULL,NULL
"528","Orile Iganmu","Lagos","337","6.4087","3.3402",NULL,NULL
"529","Oworonshoki","Lagos","338","6.5536","3.4006",NULL,NULL
"530","Kosofe","Lagos","338","6.6201","3.4095",NULL,NULL
"531","Ketu","Lagos","338","6.5973","3.3904",NULL,NULL
"532","Mile 12","Lagos","338","6.6015","3.3969",NULL,NULL
"533","Gbagada","Lagos","338","6.5584","3.3915",NULL,NULL
"534","Isheri","Lagos","338","6.6351","3.3603",NULL,NULL
"535","Ojota","Lagos","338","6.5749","3.3918",NULL,NULL
"536","Ogudu","Lagos","338","6.5749","3.3918",NULL,NULL
"537","Magodo","Lagos","338","6.6177","3.3727",NULL,NULL
"538","Epe","Lagos","339","6.5867","3.97",NULL,NULL
"539","Lagos Island","Lagos","340","6.4549","3.4246",NULL,NULL
"540","Marina","Lagos","340","6.4446","3.3641",NULL,NULL
"541","Odan","Lagos","340","6.4475","3.3971",NULL,NULL
"542","Ebute Ero","Lagos","340","6.4616","3.3851",NULL,NULL
"543","Lagos Mainland","Lagos","341","6.5059","3.3781",NULL,NULL
"544","Oko-Baba","Lagos","341","6.4897","3.3918",NULL,NULL
"545","Jibowu","Lagos","341","6.5178","3.3679",NULL,NULL
"546","Yaba","Lagos","341","6.5095","3.3711",NULL,NULL
"547","Makoko","Lagos","341","6.499","3.388",NULL,NULL
"548","Ebute Metta","Lagos","341","6.4817","3.3769",NULL,NULL
"549","Costain","Lagos","341","6.5734","3.3475",NULL,NULL
"550","Eti Osa","Lagos","342","6.459","3.6015",NULL,NULL
"551","Lekki","Lagos","342","6.4698","3.5852",NULL,NULL
"552","Ajah","Lagos","342","6.4646","3.5725",NULL,NULL
"553","Munya","Niger","343","9.8098","7.0173",NULL,NULL
"554","Gurara","Niger","344","9.3418","7.0498",NULL,NULL
"555","Kasabu","Niger","344","10.8606","4.7168",NULL,NULL
